"crop","climate_scenario","region","n_countries","n_observations","mean_impact","median_impact","sd_impact","mean_temp_change","pct_negative","mean_yield"
"Rice","RCP8.5","North America",1,12,-38.6283058333333,-37.35305,27.5479193622929,2.65333333333333,100,5.87163333333333
"Wheat","A1B","Africa",5,5,-37.398750274916,-34.5384854319805,7.24642265890542,2.382,100,0.92482711075
"Soybean","RCP2.6","Central and South America",3,19,-36.6983884210526,-42.9289,13.5362221193069,0.669111111111111,100,2.13086111111111
"Maize","A1b","Africa",7,14,-36.6654423102118,-37.6826746490434,8.56814711487469,2.11,100,1.13750927894643
"Wheat","RCP4.5","Central and South America",3,19,-34.400962631579,-24.82,22.4938742177677,1.18926315789474,100,4.07
"Wheat","RCP2.6","Africa",6,36,-34.3835216666667,-27.34235,30.1353580375282,0.92,86.1111111111111,4.20915
"Wheat","A1B","Asia",6,6,-32.8801809055396,-31.7868121893877,8.00522925498809,2.61833333333333,100,1.095093898475
"Maize","A1b","Central and South America",5,10,-32.5893682466126,-31.8111677877818,8.34366006346883,2.081,100,1.05224232078
"Soybean","RCP4.5","Asia",2,19,-31.8051157894737,-12.7825,33.678586969538,1.55215384615385,89.4736842105263,2.09868333333333
"Maize","A1FI, B1","Africa",1,4,-31.8,-26.4,14.3164241345386,NA,100,NA
"Wheat","A1B","North America",2,2,-31.4082926868825,-31.4082926868825,5.00203824910531,2.7475,100,1.73396375775
"Wheat","A1B","Europe",17,17,-30.8567988423718,-29.598917004362,5.86897641674855,2.21735294117647,100,1.49744433457059
"Wheat","RCP2.6","Central and South America",3,18,-29.3450477777778,-21.11195,20.8637266351026,0.738222222222222,100,4.35915555555556
"Soybean","A1B","Central and South America",3,6,-28.5760017844797,-30.0802343998277,6.2759613273896,1.795,100,1.847356130675
"Soybean","RCP2.6","Asia",2,18,-28.52625,-13.48035,32.4858742652185,1.03783333333333,77.7777777777778,2.22779444444444
"Wheat","A1B","Australasia",1,1,-27.865386119799,-27.865386119799,NA,2.075,100,0.62824884055
"Maize","Others","Central and South America",3,41,-27.763535357163,-20,29.7654105297708,4.14782608695652,92.6829268292683,5.61272727272727
"Wheat","RCP8.5","Central and South America",3,28,-26.7357275,-19.20145,32.1068950641849,2.05021052631579,85.7142857142857,3.53285
"Wheat","RCP4.5","Africa",6,48,-26.67747125,-19.22345,32.2610569048191,1.39833333333333,77.0833333333333,4.07226944444444
"Maize","Others","Europe",7,47,-26.1563932248946,-17.3913043478261,38.7577874556661,3.16391304347826,87.2340425531915,9.3059375
"Soybean","RCP8.5","Central and South America",3,27,-25.058262962963,-44.6187,51.9317921805808,2.149,70.3703703703704,2.28293076923077
"Wheat","RCP2.6","Australasia",1,6,-25.0336166666667,-24.5013,3.15635289308193,0.655666666666667,100,1.0221
"Wheat","A1B","Central and South America",3,3,-25.0107946047324,-28.00635818222,5.58214136025164,1.82333333333333,100,1.32841932773333
"Soybean","A1B","Asia",2,4,-24.67727044712,-23.961404966331,15.1377959957174,2.5525,100,0.9385755360125
