"country","region","mean_impact","worst_crop_impact","best_crop_impact","impact_spread","avg_global_warming","total_observations","crops_affected","risk_score","risk_category"
"Paraguay","Central and South America",-58.4040385,-84.07585,-32.732227,51.343623,4.5008,12,2,1,"Severe Risk"
"Pakistan","Asia",-51.5811416666667,-60.300725,-47.08432,13.216405,4.64408888888889,17,3,2,"Severe Risk"
"Venezuela","Central and South America",-51.05819,-51.05819,-51.05819,0,4.8696,10,1,3,"Severe Risk"
"South Africa","Africa",-50.446447,-86.45925,-14.433644,72.025606,4.5008,12,2,4,"Severe Risk"
"Saudi Arabia","Asia",-45.1326466666667,-45.1326466666667,-45.1326466666667,0,4.44866666666667,3,1,5,"Severe Risk"
"Benin","Africa",-45,-45,-45,0,4.7425,4,1,6,"Severe Risk"
"India","Asia",-39.0113465097403,-53.7775,-24.7871715151515,28.9903284848485,4.43983982683983,56,4,7,"Severe Risk"
"Uganda","Africa",-38.5965727272727,-38.5965727272727,-38.5965727272727,0,4.89145454545455,11,1,8,"Severe Risk"
"Thailand","Asia",-37.4743646022727,-62.5599454545455,-12.38878375,50.1711617045455,4.52435227272727,27,2,9,"Severe Risk"
"Malawi","Africa",-35.4036727272727,-35.4036727272727,-35.4036727272727,0,4.89145454545455,11,1,10,"Severe Risk"
"United States","North America",-35.3813354811321,-63.96495,4.7222320754717,68.6871820754717,4.333775,69,4,11,"Severe Risk"
"Nigeria","Africa",-33.4117165909091,-56.0778181818182,-10.745615,45.3322031818182,4.75272727272727,15,2,12,"Severe Risk"
"Argentina","Central and South America",-31.6351948148148,-55.891,-13.3816177777778,42.5093822222222,4.47503703703704,14,3,13,"Severe Risk"
"Mexico","Central and South America",-27.7644625757576,-29.3152433333333,-26.2136818181818,3.10156151515152,4.66869696969697,14,2,14,"Severe Risk"
"Iran","Asia",-25.2257798379841,-34.0150233333333,-13.11524375,20.8997795833333,4.5293126984127,34,3,15,"Severe Risk"
"Tanzania","Africa",-24.5131730769231,-24.5131730769231,-24.5131730769231,0,4.73738461538462,13,1,16,"Severe Risk"
"Kazakstan","Asia",-24.3074733333333,-24.3074733333333,-24.3074733333333,0,4.44866666666667,3,1,17,"Severe Risk"
"Croatia","Europe",-24.263559,-24.263559,-24.263559,0,4.8836,10,1,18,"Severe Risk"
"Egypt","Africa",-23.8600296111111,-39.114828,-13.4357333333333,25.6790946666667,4.64408888888889,17,3,19,"Severe Risk"
"Bangladesh","Asia",-22.93475,-22.93475,-22.93475,0,4.614,4,1,20,"Severe Risk"
"Cambodia, Laos, Myanmar, Thailand, Vietnam","Asia",-22.5268875,-22.5268875,-22.5268875,0,4.99,8,1,21,"Severe Risk"
"Brazil","Central and South America",-21.75363775,-61.6173666666667,9.74091666666667,71.3582833333333,4.47973333333333,23,4,22,"Severe Risk"
"Vietnam","Asia",-20.8867605681818,-38.8451036363636,-2.9284175,35.9166861363636,4.75272727272727,15,2,23,"Severe Risk"
"Indonesia","Asia",-19.818697,-36.573744,-3.06365,33.510094,4.7488,14,2,24,"High Risk"
