"country","region","crop","avg_impact","avg_temp_change","avg_precip_change","n_observations"
"South Africa","Africa","Wheat",-86.45925,4.118,-38.346,2
"Paraguay","Central and South America","Soybean",-84.07585,4.118,-19.7208,2
"United States","North America","Soybean",-63.96495,4.118,35.4244,2
"Thailand","Asia","Maize",-62.5599454545455,4.89145454545455,123.8028,11
"Brazil","Central and South America","Wheat",-61.6173666666667,4.44866666666667,33.5983999999999,3
"Pakistan","Asia","Rice",-60.300725,4.614,23.3728,4
"Nigeria","Africa","Maize",-56.0778181818182,4.89145454545455,118.69,11
"Argentina","Central and South America","Soybean",-55.891,4.118,1.46079999999999,2
"India","Asia","Soybean",-53.7775,4.249,102.256,4
"United States","North America","Rice",-51.986275,4.614,-5.47799999999997,4
"Venezuela","Central and South America","Maize",-51.05819,4.8696,-124.5332,10
"Pakistan","Asia","Maize",-47.35838,4.8696,30.6768,10
"Pakistan","Asia","Wheat",-47.08432,4.44866666666667,24.1032,3
"Saudi Arabia","Asia","Wheat",-45.1326466666667,4.44866666666667,19.7208,3
"Benin","Africa","Maize",-45,4.7425,NA,4
"India","Asia","Wheat",-43.5245428571429,4.54657142857143,-32.44,7
"Egypt","Africa","Maize",-39.114828,4.8696,-2.1912,10
"Vietnam","Asia","Maize",-38.8451036363636,4.89145454545455,140.9672,11
"Uganda","Africa","Maize",-38.5965727272727,4.89145454545455,217.6592,11
"Indonesia","Asia","Maize",-36.573744,4.8836,128.5504,10
"Malawi","Africa","Maize",-35.4036727272727,4.89145454545455,4.54747350886464e-14,11
"Iran","Asia","Wheat",-34.0150233333333,4.2612380952381,-50.33716,21
"India","Asia","Maize",-33.9561716666667,4.82633333333333,167.769866666667,12
"Paraguay","Central and South America","Maize",-32.732227,4.8836,-44.1892000000001,10
"China","Asia","Soybean",-31.8960666666667,4.01533333333333,77.1467333333333,3
"Brazil","Central and South America","Maize",-30.460156,4.8836,-2.19119999999994,10
"United States","North America","Maize",-30.296349,4.8836,43.8240000000001,10
"Greece","Europe","Maize",-29.4478588888889,4.84288888888889,-94.952,9
"Mexico","Central and South America","Wheat",-29.3152433333333,4.44866666666667,-25.9292,3
"Iran","Asia","Rice",-28.5470724306191,4.5172,11.3212,5
"Philippines","Asia","Maize",-27.2093118181818,4.89145454545455,354.244,11
"Mexico","Central and South America","Maize",-26.2136818181818,4.88872727272727,-46.1341333333333,11
"Argentina","Central and South America","Wheat",-25.6329666666667,4.44866666666667,-8.03439999999996,3
"India","Asia","Rice",-24.7871715151515,4.13745454545455,203.366933333333,33
"Tanzania","Africa","Maize",-24.5131730769231,4.73738461538462,128.9156,13
"Kazakstan","Asia","Wheat",-24.3074733333333,4.44866666666667,46.0152,3
"Croatia","Europe","Maize",-24.263559,4.8836,-130.0112,10
"Italy","Europe","Maize",-23.800478,4.8836,-99.6996,10
"Bangladesh","Asia","Rice",-22.93475,4.614,238.4756,4
"Cambodia, Laos, Myanmar, Thailand, Vietnam","Asia","Rice",-22.5268875,4.99,85.1799906144,8
"Hungary","Europe","Maize",-22.469273,4.8836,-63.1796,10
"Global","Global","Wheat",-22.4,4.99,NA,1
"Romania","Europe","Maize",-22.2753944444444,4.85844444444444,-56.606,9
"Global","Global","Maize",-21.85,4.97,NA,3
"Canada","North America","Maize",-21.4760853846154,4.89430769230769,100.85536,13
"Russia","Europe","Wheat",-20.077335,4.524,45.6499999999999,4
"Cambodia","Asia","Rice",-19.2438175,4.614,154.4796,4
"Egypt","Africa","Rice",-19.0295275,4.614,-13.5124,4
"China","Asia","Maize",-18.940278,4.7838,168.8094,20
"Ethiopia","Africa","Wheat",-18.86984,4.09773333333333,167.6268,15
"Turkmenistan_Rep","Asia","Wheat",-18.27905,4.118,-3.65200000000002,2
"Kenya","Africa","Maize",-16.197415,4.8836,128.5504,10
"Ukraine","Europe","Maize",-15.772361,4.8836,-24.8336,10
"France","Europe","Maize",-15.3710377777778,4.85844444444444,-59.1624,9
"Canada","North America","Soybean",-15.2610866666667,4.93,NA,3
"South Africa","Africa","Maize",-14.433644,4.8836,-49.6672,10
"Nepal","Asia","Maize",-14.361117,4.8696,304.2116,10
"Australia","Australasia","Wheat",-13.9398608695652,4.00721739130435,-34.3288,23
"Spain","Europe","Wheat",-13.8619666666667,4.44866666666667,-120.8812,3
"Italy","Europe","Rice",-13.75,3.68,NA,2
"Ethiopia","Africa","Maize",-13.693924,4.7706,134.0284,10
"Egypt","Africa","Wheat",-13.4357333333333,4.44866666666667,-3.2868,3
