"crop","country","region","climate_scenario","future_mid_point","projected_yield_t_ha","global_delta_t_from_pre_industrial_period","drought_index","annual_precipitation_change_each_study_mm"
"Maize","Pakistan","Asia","RCP8.5",2054,5.60388,2.5,0.204388080283599,87.648
"Maize","Pakistan","Asia","RCP8.5",2054,7.9458,2.5,0.204388080283599,87.648
"Maize","United States","North America","RCP4.5",2070,4.06741266,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,4.6484469,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,7.47070488,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,4.34096658,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,4.6402722,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,7.11010854,3,0.08689413014339,91.5
"Maize","United States","North America","RCP6.0",2090,4.150404,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,4.3163811,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,7.1387451,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,4.6402722,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,4.79001708,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,7.03528074,4,0.130341195215085,137.25
"Maize","United States","North America","RCP4.5",2070,3.79013688,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,3.44559978,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,7.4942469,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,3.88340658,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,4.03873146,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,7.30074366,3,0.08689413014339,91.5
"Maize","United States","North America","RCP6.0",2090,3.87637578,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,3.87637578,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,7.4942469,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,4.27171878,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,4.42704366,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,7.45606854,4,0.130341195215085,137.25
"Maize","United States","North America","RCP4.5",2070,3.29727222,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,3.97366866,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,7.43996466,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,3.73521294,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,3.96390366,3,0.08689413014339,91.5
"Maize","United States","North America","RCP4.5",2070,7.2418356,3,0.08689413014339,91.5
"Maize","United States","North America","RCP6.0",2090,3.3817869,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,4.14269244,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,6.76366866,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,3.81150828,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,4.57376976,4,0.130341195215085,137.25
"Maize","United States","North America","RCP6.0",2090,6.7081644,4,0.130341195215085,137.25
"Maize","Iran","Asia","RCP2.6",2028,9.68,1.58,-0.181845863886163,-54.1
"Maize","Iran","Asia","RCP2.6",2053,9.85,1.99,-0.113275519648127,-33.7
"Maize","Iran","Asia","RCP2.6",2078,10.2,1.98,-0.093780029619666,-27.9
"Maize","Iran","Asia","RCP8.5",2028,10.02,1.73,-0.106552936879692,-31.7
"Maize","Iran","Asia","RCP8.5",2053,9.68,2.89,-0.0927716422044008,-27.6
"Maize","Iran","Asia","RCP8.5",2078,9.33,4.27,-0.0278987184890046,-8.3
"Maize","Canada","North America","RCP4.5",2055,7.5191,2.53,0.0285519417080589,26
"Maize","Canada","North America","RCP4.5",2085,6.6345,2.98,0.0219630320831222,20
"Maize","Canada","North America","RCP8.5",2055,6.89988,3.23,0.149348618165231,136
"Maize","Canada","North America","RCP8.5",2085,5.21914,4.93,0.106520705603143,97
"Maize","Canada","North America","RCP4.5",2055,7.25372,2.53,0.0285519417080589,26
"Maize","Canada","North America","RCP4.5",2085,6.6345,2.98,0.0219630320831222,20
"Maize","Canada","North America","RCP8.5",2055,6.54604,3.23,0.149348618165231,136
"Maize","Canada","North America","RCP8.5",2085,4.95376,4.93,0.106520705603143,97
"Maize","Canada","North America","RCP4.5",2055,10.341,2.53,0.0285519417080589,26
"Maize","Canada","North America","RCP4.5",2085,9.112,2.98,0.0219630320831222,20
"Maize","Canada","North America","RCP8.5",2055,9.266,3.23,0.149348618165231,136
"Maize","Canada","North America","RCP8.5",2085,7.269,4.93,0.106520705603143,97
"Maize","China","Asia","RCP2.6",2100,0.63751,2.08,0.35405615755566,178
"Maize","China","Asia","RCP4.5",2100,0.65908,3.23,0.35604523709249,179
"Maize","China","Asia","RCP8.5",2100,0.59068,5.35,0.467433691154944,235
"Maize","China","Asia","RCP2.6",2100,0.64511,2.08,0.35405615755566,178
"Maize","China","Asia","RCP4.5",2100,0.66687,3.23,0.35604523709249,179
"Maize","China","Asia","RCP8.5",2100,0.59639,5.35,0.467433691154944,235
"Maize","China","Asia","RCP2.6",2100,0.70357,2.08,0.35405615755566,178
"Maize","China","Asia","RCP4.5",2100,0.74138,3.23,0.35604523709249,179
"Maize","China","Asia","RCP8.5",2100,0.6631,5.35,0.467433691154944,235
"Maize","China","Asia","RCP2.6",2100,0.66329,2.08,0.35405615755566,178
"Maize","China","Asia","RCP4.5",2100,0.70339,3.23,0.35604523709249,179
"Maize","China","Asia","RCP8.5",2100,0.62554,5.35,0.467433691154944,235
"Maize","Iran","Asia","RCP4.5",2055,7.6694992716,1.84,-0.00899297196371549,-1.2536
"Maize","Iran","Asia","RCP8.5",2055,7.6424568642,2.35,0.0359718878548619,5.0144
"Maize","Iran","Asia","RCP4.5",2055,7.573336,1.84,-0.00899297196371549,-1.2536
"Maize","Iran","Asia","RCP8.5",2055,7.546664,2.35,0.0359718878548619,5.0144
"Maize","Iran","Asia","RCP4.5",2055,7.1694257284,1.84,-0.00899297196371549,-1.2536
"Maize","Iran","Asia","RCP8.5",2055,7.1526371852,2.35,0.0359718878548619,5.0144
"Maize","Iran","Asia","RCP4.5",2055,8.0042429136,1.84,-0.00899297196371549,-1.2536
"Maize","Iran","Asia","RCP8.5",2055,7.9852238148,2.35,0.0359718878548619,5.0144
"Maize","Iran","Asia","RCP4.5",2055,8.5846788642,1.84,-0.00899297196371549,-1.2536
"Maize","Iran","Asia","RCP8.5",2055,8.5036902963,2.35,0.0359718878548619,5.0144
"Maize","Iran","Asia","RCP4.5",2055,8.0993041852,1.84,-0.00899297196371549,-1.2536
"Maize","Iran","Asia","RCP8.5",2055,8.0612745432,2.35,0.0359718878548619,5.0144
"Maize","Iran","Asia","RCP4.5",2055,7.3691491748,1.84,0.0291098887709063,5.493125
"Maize","Iran","Asia","RCP8.5",2055,7.3691491748,2.35,-0.0173420613954336,-3.2725
"Maize","Iran","Asia","RCP4.5",2055,6.950309288,1.84,0.0291098887709063,5.493125
"Maize","Iran","Asia","RCP8.5",2055,6.933649644,2.35,-0.0173420613954336,-3.2725
"Maize","Iran","Asia","RCP4.5",2055,6.8844043617,1.84,0.0291098887709063,5.493125
"Maize","Iran","Asia","RCP8.5",2055,6.8680010025,2.35,-0.0173420613954336,-3.2725
"Maize","Iran","Asia","RCP4.5",2055,7.0419446885,1.84,0.0291098887709063,5.493125
"Maize","Iran","Asia","RCP8.5",2055,6.966968932,2.35,-0.0173420613954336,-3.2725
