"crop","country","region","local_delta_t","global_delta_t_from_pre_industrial_period","projected_yield_t_ha","climate_impacts"
"Maize","Pakistan","Asia",2.94,2.5,5.60388,-19.6
"Maize","Pakistan","Asia",2.94,2.5,7.9458,14
"Maize","China","Asia",1.15,1.46,NA,-5.36
"Maize","China","Asia",1.31,1.63,NA,-6.04
"Maize","China","Asia",0.4,1.34,6.6732732,-5.4
"Maize","China","Asia",1.2,1.62,6.7790862,-3.9
"Maize","China","Asia",1.8,2.04,6.7931946,-3.7
"Maize","China","Asia",0.4,1.34,6.877845,-2.5
"Maize","China","Asia",1.2,1.62,6.9907122,-0.9
"Maize","China","Asia",1.8,2.04,7.0118748,-0.6
"Maize","United States","North America",3,3,4.06741266,-27.1073
"Maize","United States","North America",3,3,4.6484469,-16.6945
"Maize","United States","North America",3,3,7.47070488,33.8836
"Maize","United States","North America",3,3,4.34096658,-22.2049
"Maize","United States","North America",3,3,4.6402722,-16.841
"Maize","United States","North America",3,3,7.11010854,27.4213
"Maize","United States","North America",4,4,4.150404,-25.62
"Maize","United States","North America",4,4,4.3163811,-22.6455
"Maize","United States","North America",4,4,7.1387451,27.9345
"Maize","United States","North America",4,4,4.6402722,-16.841
"Maize","United States","North America",4,4,4.79001708,-14.1574
"Maize","United States","North America",4,4,7.03528074,26.0803
"Maize","United States","North America",3,3,3.79013688,-32.0764
"Maize","United States","North America",3,3,3.44559978,-38.2509
"Maize","United States","North America",3,3,7.4942469,34.3055
"Maize","United States","North America",3,3,3.88340658,-30.4049
"Maize","United States","North America",3,3,4.03873146,-27.6213
"Maize","United States","North America",3,3,7.30074366,30.8377
"Maize","United States","North America",4,4,3.87637578,-30.5309
"Maize","United States","North America",4,4,7.4942469,34.3055
"Maize","United States","North America",4,4,4.27171878,-23.4459
"Maize","United States","North America",4,4,4.42704366,-20.6623
"Maize","United States","North America",4,4,7.45606854,33.6213
"Maize","United States","North America",3,3,3.29727222,-40.9091
"Maize","United States","North America",3,3,3.97366866,-28.7873
"Maize","United States","North America",3,3,7.43996466,33.3327
"Maize","United States","North America",3,3,3.73521294,-33.0607
"Maize","United States","North America",3,3,3.96390366,-28.9623
"Maize","United States","North America",3,3,7.2418356,29.782
"Maize","United States","North America",4,4,3.3817869,-39.3945
"Maize","United States","North America",4,4,4.14269244,-25.7582
"Maize","United States","North America",4,4,6.76366866,21.2127
"Maize","United States","North America",4,4,3.81150828,-31.6934
"Maize","United States","North America",4,4,4.57376976,-18.0328
"Maize","United States","North America",4,4,6.7081644,20.218
"Maize","China","Asia",1.47,1.82,NA,-6.7
"Maize","China","Asia",2.61,2.42,NA,-28.2
"Maize","China","Asia",1.78,2.21,NA,-12.2
"Maize","China","Asia",2.96,3.81,NA,-37.7
"Maize","Benin","Africa",1.05,1.93,1.312894,-17
"Maize","Benin","Africa",2,2.68,1.312894,-17
"Maize","Benin","Africa",4.65,4.83,0.885808,-44
"Maize","Benin","Africa",1.05,1.93,1.42362,-10
"Maize","Benin","Africa",2,2.68,1.297076,-18
"Maize","Benin","Africa",4.65,4.83,0.854172,-46
"Maize","Benin","Africa",1.05,1.93,1.391984,-12
"Maize","Benin","Africa",2,2.68,1.281258,-19
"Maize","Benin","Africa",4.65,4.83,0.838354,-47
"Maize","Brazil","Central and South America",1.8,2.05,NA,-7.03
"Maize","Brazil","Central and South America",2.5,2.6,NA,-17.12
"Maize","Brazil","Central and South America",1.8,2.05,NA,-10.08
"Maize","Brazil","Central and South America",2.5,2.6,NA,-16.17
"Maize","Brazil","Central and South America",1.8,2.05,NA,-4.09
"Maize","Brazil","Central and South America",2.5,2.6,NA,-9.81
"Maize","Brazil","Central and South America",1.8,2.05,NA,-2.44
"Maize","Brazil","Central and South America",2.5,2.6,NA,-4.97
"Maize","Senegal","Africa",1.43,1.69,0.780824,-16.4
"Maize","Senegal","Africa",1.88,2.56,0.730388,-21.8
"Maize","Ghana","Africa",1.5,1.82,1.059288,-12.6
"Maize","Ghana","Africa",2.19,2.58,0.98172,-19
"Maize","Ghana","Africa",1.51,2.17,1.590848,-15.2
"Maize","Ghana","Africa",2.19,2.8,1.376984,-26.6
"Maize","China","Asia",0.89,1.5,NA,-9.95
"Maize","China","Asia",1.39,2,NA,-18.85
"Maize","Canada","North America",0.6,1.5,NA,1.5
"Maize","Canada","North America",1.4,2,NA,0.26667
"Maize","Canada","North America",2.2,2.5,NA,-1.3
"Maize","Canada","North America",3,3,NA,-5.13333
"Maize","Canada","North America",0.6,1.5,NA,3.4
"Maize","Canada","North America",1.4,2,NA,4.36667
"Maize","Canada","North America",2.2,2.5,NA,4.83333
"Maize","Canada","North America",3,3,NA,2.86667
"Maize","Iran","Asia",2.32,1.86,NA,-4.21
"Maize","Iran","Asia",3.25,2.37,NA,-8.4
"Maize","United States","North America",0.61,1.54,10.033,-18.8679
"Maize","United States","North America",0.99,1.65,10.168,-16.9811
"Maize","China","Asia",0.93,1.5,NA,-0.1
"Maize","China","Asia",1.55,2,NA,-2.6
"Maize","China","Asia",0.93,1.5,NA,0.2
"Maize","China","Asia",1.55,2,NA,-1.7
"Maize","Sudan Savanna","Africa",0.9,1.5,NA,-1.0294
"Maize","Sudan Savanna","Africa",1.37,2,NA,-3.2353
"Maize","Sudan Savanna","Africa",0.9,1.5,NA,-5
"Maize","Sudan Savanna","Africa",1.37,2,NA,-8.9706
"Maize","Canada","North America",2.8,2.53,7.5191,-15
"Maize","Canada","North America",3.5,2.98,6.6345,-25
"Maize","Canada","North America",3.4,3.23,6.89988,-22
"Maize","Canada","North America",5.7,4.93,5.21914,-41
"Maize","Canada","North America",2.8,2.53,7.25372,-18
"Maize","Canada","North America",3.4,3.23,6.54604,-26
"Maize","Canada","North America",5.7,4.93,4.95376,-44
"Maize","Canada","North America",2.8,2.53,10.341,20.9581
"Maize","Canada","North America",3.5,2.98,9.112,6.58683
"Maize","Canada","North America",3.4,3.23,9.266,8.38323
"Maize","Canada","North America",5.7,4.93,7.269,-14.9701
"Maize","China","Asia",2.44,2.3,11.889,0.651
"Maize","China","Asia",2.94,2.45,11.049,-6.45
"Maize","China","Asia",2.44,2.3,11.925,-0.4
"Maize","China","Asia",2.94,2.45,11.069,-7.55
"Maize","Iran","Asia",2,1.84,7.6694992716,-4.131259105
"Maize","Iran","Asia",2.65,2.35,7.6424568642,-4.46928919749999
"Maize","Iran","Asia",2,1.84,7.573336,-5.3333
"Maize","Iran","Asia",2.65,2.35,7.546664,-5.6667
"Maize","Iran","Asia",2,1.84,7.1694257284,-10.382178395
"Maize","Iran","Asia",2.65,2.35,7.1526371852,-10.592035185
"Maize","Iran","Asia",2.15,1.84,8.0042429136,-6.4444
"Maize","Iran","Asia",3.2,2.35,7.9852238148,-6.6667
"Maize","Iran","Asia",2.15,1.84,8.5846788642,0.339881062695779
"Maize","Iran","Asia",3.2,2.35,8.5036902963,-0.60673364463042
"Maize","Iran","Asia",2.15,1.84,8.0993041852,-5.33329999999999
"Maize","Iran","Asia",3.2,2.35,8.0612745432,-5.7778
"Maize","Iran","Asia",2.25,1.84,7.3691491748,0.144719369436719
"Maize","Iran","Asia",3,2.35,7.3691491748,0.144719369436719
"Maize","Iran","Asia",2.25,1.84,6.950309288,-5.54720000000001
"Maize","Iran","Asia",3,2.35,6.933649644,-5.7736
