"crop","country","region","latitude","longitude","current_average_temperature_point_coordinate_d_c","current_annual_precipitation_mm_point_coordinate","global_delta_t_from_pre_industrial_period","annual_precipitation_change_each_study_mm","climate_scenario","future_mid_point","projected_yield_t_ha","climate_impacts","local_delta_t","drought_index"
"Maize","Pakistan","Asia",31.4167,73.0911,25.45425224,428.8312698,2.5,87.648,"RCP8.5",2054,5.60388,-19.6,2.94,0.204388080283599
"Maize","Pakistan","Asia",31.4167,73.0911,25.45425224,428.8312698,2.5,87.648,"RCP8.5",2054,7.9458,14,2.94,0.204388080283599
"Maize","United States","North America",43.2705,-104.108,10.19120789,468.4069477,2.56,NA,"RCP8.5",2055,8.464073336,-22.4,NA,NA
"Maize","United States","North America",43.2705,-104.108,10.19120789,468.4069477,2.56,NA,"RCP8.5",2055,13.63413875,25,NA,NA
"Maize","China","Asia",30,110,14.65206146,1370.620538,1.46,NA,"RCP4.5",2050,NA,-5.36,1.15,NA
"Maize","China","Asia",30,110,14.65206146,1370.620538,1.63,NA,"RCP8.5",2050,NA,-6.04,1.31,NA
"Maize","China","Asia",37.4,115.2,14.78656578,487.2756922,1.34,NA,"RCP4.5",2025,6.6732732,-5.4,0.4,NA
"Maize","China","Asia",37.4,115.2,14.78656578,487.2756922,1.62,NA,"RCP4.5",2035,6.7790862,-3.9,1.2,NA
"Maize","China","Asia",37.4,115.2,14.78656578,487.2756922,2.04,NA,"RCP4.5",2045,6.7931946,-3.7,1.8,NA
"Maize","China","Asia",37.4,115.2,14.78656578,487.2756922,1.34,NA,"RCP4.5",2025,6.877845,-2.5,0.4,NA
"Maize","China","Asia",37.4,115.2,14.78656578,487.2756922,1.62,NA,"RCP4.5",2035,6.9907122,-0.9,1.2,NA
"Maize","China","Asia",37.4,115.2,14.78656578,487.2756922,2.04,NA,"RCP4.5",2045,7.0118748,-0.6,1.8,NA
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,4.06741266,-27.1073,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,4.6484469,-16.6945,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,7.47070488,33.8836,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,4.34096658,-22.2049,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,4.6402722,-16.841,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,7.11010854,27.4213,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,4.150404,-25.62,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,4.3163811,-22.6455,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,7.1387451,27.9345,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,4.6402722,-16.841,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,4.79001708,-14.1574,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,7.03528074,26.0803,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,3.79013688,-32.0764,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,3.44559978,-38.2509,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,7.4942469,34.3055,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,3.88340658,-30.4049,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,4.03873146,-27.6213,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,7.30074366,30.8377,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,3.87637578,-30.5309,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,3.87637578,-30.5309,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,7.4942469,34.3055,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,4.27171878,-23.4459,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,4.42704366,-20.6623,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,4,137.25,"RCP6.0",2090,7.45606854,33.6213,4,0.130341195215085
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,3.29727222,-40.9091,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,3.97366866,-28.7873,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,7.43996466,33.3327,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,3.73521294,-33.0607,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,3.96390366,-28.9623,3,0.08689413014339
"Maize","United States","North America",42.4,-85.4,10.54095936,1053.005535,3,91.5,"RCP4.5",2070,7.2418356,29.782,3,0.08689413014339
