"ID","Ref No","Methods","Scale","Crop","Country","Site(location)","Region","latitude","longitude","Current Average Temperature (dC)_area_weighted","Current Average Temperature_point_coordinate (dC)","Current Annual Precipitation (mm) _area_weighted","Current Annual Precipitation  (mm) _point_coordinate","Future_Mid-point","Baseline_Mid-point","Time slice","Climate scenario","Scenario source","Local delta T","Local delta T from 2005","Annual Precipitation change each study  (mm)","Annual Precipitation change  from 2005 (mm)","Global delta T from pre-industrial period","Global delta T from 2005","Projected yield (t/ha)","Climate impacts (%)","Climate impacts relative to 2005","Climate impacts per dC (%)","Climate impacts per decade (%)","CO2","CO2 ppm","Fertiliser","Irrigation","Cultivar","Soil organic matter management","Planting time","Tillage","Others","Adaptation","Adaptation type","Reference","doi","Publication year","Note1 
(* = corrected by HW)","Note2 
(* = Local temperature is  estimated )","Note3 
(* = Local delta Pr is  estimated )","Note4 
(* = Global temperature is  estimated )","Seasonal Precipitation change (mm) each study (local baseperiod)","Base precipitation (annual) (mm) (local base period)","Annual Preciptation change (%) (relative to local base)","Base precipitation (seasonal) (mm) (local base period)"
1,1,"SCOPUS-NewSearch","Regional","Maize","Pakistan","Punjub","Asia",31.4167,73.0911,25.45425224,25.45425224,428.8312698,428.8312698,2054,1995,"MC","RCP8.5","CMIP5",2.94,2.44169491525424,87.648,72.792406779661,2.5,1.71,5.60388,-19.6,-16.2779661016949,-6.66666666666667,-3.32203389830509,"Yes",564.31311,"No","No","No","No","No","No","No","No","No","Ahmad et al., 2020","10.1016/j.eja.2020.126040",2020,NA,NA,NA,NA,NA,NA,NA,NA
2,1,"SCOPUS-NewSearch","Regional","Maize","Pakistan","Punjub","Asia",31.4167,73.0911,25.45425224,25.45425224,428.8312698,428.8312698,2054,1995,"MC","RCP8.5","CMIP5",2.94,2.44169491525424,87.648,72.792406779661,2.5,1.71,7.9458,14,11.6271186440678,4.76190476190476,2.3728813559322,"Yes",564.31311,"Yes","No","Yes","No","Yes","No","Yes","Yes","Combined","Ahmad et al., 2020","10.1016/j.eja.2020.126040",2020,NA,NA,NA,NA,NA,NA,NA,NA
3,2,"SCOPUS-NewSearch","Regional","Maize","United States","Wyoming","North America",43.2705,-104.108,10.19120789,10.19120789,468.4069477,468.4069477,2055,1998,"MC","RCP8.5","CMIP5",NA,2.01369294686488,NA,11.1370421044667,2.56,1.77,8.464073336,-22.4,-19.6491228070175,-9.75775519182767,-3.92982456140351,"Yes",570.51669,"No","No","No","No","No","No","No","No","No","Burchfield et al., 2020","10.1007/s10584-019-02567-7",2020,NA,"*","*",NA,NA,NA,NA,NA
4,2,"SCOPUS-NewSearch","Regional","Maize","United States","Wyoming","North America",43.2705,-104.108,10.19120789,10.19120789,468.4069477,468.4069477,2055,1998,"MC","RCP8.5","CMIP5",NA,2.01369294686488,NA,11.1370421044667,2.56,1.77,13.63413875,25,21.9298245614035,10.8903517765934,4.3859649122807,"Yes",570.51669,"No","No","No","No","No","No","Yes","Yes","Others","Burchfield et al., 2020","10.1007/s10584-019-02567-7",2020,NA,"*","*",NA,NA,NA,NA,NA
5,3,"SCOPUS-NewSearch","Regional","Maize","China","Hubei","Asia",30,110,14.65206146,14.65206146,1370.620538,1370.620538,2050,1983,"MC","RCP4.5","CMIP5",1.15,0.772388059701493,NA,55.332323164846,1.46,0.67,NA,-5.36,-3.6,-4.66086956521739,-0.8,"Yes",486.53532,"No","No","No","No","No","No","No","No","No","Chen et al., 2020","10.1016/j.agrformet.2019.107867",2020,NA,NA,"*",NA,48.715,NA,NA,NA
6,3,"SCOPUS-NewSearch","Regional","Maize","China","Hubei","Asia",30,110,14.65206146,14.65206146,1370.620538,1370.620538,2050,1983,"MC","RCP8.5","CMIP5",1.31,0.879850746268657,NA,57.0886734968748,1.63,0.84,NA,-6.04,-4.05671641791045,-4.61068702290076,-0.901492537313433,"Yes",540.54279,"No","No","No","No","No","No","No","No","No","Chen et al., 2020","10.1016/j.agrformet.2019.107867",2020,NA,NA,"*",NA,44,NA,NA,NA
7,4,"SCOPUS-NewSearch","Regional","Maize","China","Hubei","Asia",37.4,115.2,14.78656578,14.78656578,487.2756922,487.2756922,2025,2006,"NF","RCP4.5","CMIP5",0.4,0.421052631578947,NA,27.5875778425619,1.34,0.55,6.6732732,-5.4,-5.68421052631579,-13.5,-2.8421052631579,"No",378.8125,"No","No","No","No","No","No","No","No","No","Li et al., 2020","10.1007/s00704-019-02956-z",2020,NA,NA,"*",NA,10.15196,1314,NA,NA
8,4,"SCOPUS-NewSearch","Regional","Maize","China","Hubei","Asia",37.4,115.2,14.78656578,14.78656578,487.2756922,487.2756922,2035,2006,"NF","RCP4.5","CMIP5",1.2,1.24137931034483,NA,35.7694028968535,1.62,0.83,6.7790862,-3.9,-4.03448275862069,-3.25,-1.3448275862069,"No",378.8125,"No","No","No","No","No","No","No","No","No","Li et al., 2020","10.1007/s00704-019-02956-z",2020,NA,NA,"*",NA,39.52013,1314,NA,NA
9,4,"SCOPUS-NewSearch","Regional","Maize","China","Hubei","Asia",37.4,115.2,14.78656578,14.78656578,487.2756922,487.2756922,2045,2006,"MC","RCP4.5","CMIP5",1.8,1.84615384615385,NA,47.3501103843319,2.04,1.25,6.7931946,-3.7,-3.7948717948718,-2.05555555555556,-0.948717948717949,"No",378.8125,"No","No","No","No","No","No","No","No","No","Li et al., 2020","10.1007/s00704-019-02956-z",2020,NA,NA,"*",NA,33.71901,1314,NA,NA
10,4,"SCOPUS-NewSearch","Regional","Maize","China","Hubei","Asia",37.4,115.2,14.78656578,14.78656578,487.2756922,487.2756922,2025,2006,"NF","RCP4.5","CMIP5",0.4,0.421052631578947,NA,27.5875778425619,1.34,0.55,6.877845,-2.5,-2.63157894736842,-6.25,-1.31578947368421,"Yes",447.76978,"No","No","No","No","No","No","No","No","No","Li et al., 2020","10.1007/s00704-019-02956-z",2020,NA,NA,"*",NA,10.15196,1314,NA,NA
11,4,"SCOPUS-NewSearch","Regional","Maize","China","Hubei","Asia",37.4,115.2,14.78656578,14.78656578,487.2756922,487.2756922,2035,2006,"NF","RCP4.5","CMIP5",1.2,1.24137931034483,NA,35.7694028968535,1.62,0.83,6.9907122,-0.9,-0.931034482758621,-0.75,-0.310344827586207,"Yes",447.76978,"No","No","No","No","No","No","No","No","No","Li et al., 2020","10.1007/s00704-019-02956-z",2020,NA,NA,"*",NA,39.52013,1314,NA,NA
12,4,"SCOPUS-NewSearch","Regional","Maize","China","Hubei","Asia",37.4,115.2,14.78656578,14.78656578,487.2756922,487.2756922,2045,2006,"MC","RCP4.5","CMIP5",1.8,1.84615384615385,NA,47.3501103843319,2.04,1.25,7.0118748,-0.6,-0.615384615384615,-0.333333333333333,-0.153846153846154,"Yes",473.78031,"No","No","No","No","No","No","No","No","No","Li et al., 2020","10.1007/s00704-019-02956-z",2020,NA,NA,"*",NA,33.71901,1314,NA,NA
13,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,4.06741266,-27.1073,-25.9113897058823,-9.03576666666667,-3.98636764705882,"Yes",524.30217,"No","No","No","No","No","No","No","No","No","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
14,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,4.6484469,-16.6945,-15.9579779411765,-5.56483333333333,-2.45507352941176,"Yes",524.30217,"No","No","No","No","Yes","No","No","Yes","Planting date","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
15,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,7.47070488,33.8836,32.3887352941176,11.2945333333333,4.98288235294118,"Yes",524.30217,"No","No","Yes","No","Yes","No","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
16,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,4.34096658,-22.2049,-21.2252720588235,-7.40163333333333,-3.26542647058824,"Yes",524.30217,"No","No","No","No","No","Yes","No","Yes","Tillage","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
17,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,4.6402722,-16.841,-16.0980147058824,-5.61366666666667,-2.47661764705882,"Yes",524.30217,"No","No","No","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
18,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,7.11010854,27.4213,26.2115367647059,9.14043333333333,4.03254411764706,"Yes",524.30217,"No","No","Yes","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
19,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,4.150404,-25.62,-24.7465909090909,-6.405,-2.91136363636364,"Yes",635.64876,"No","No","No","No","No","No","No","No","No","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
20,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,4.3163811,-22.6455,-21.8734943181818,-5.661375,-2.57335227272727,"Yes",635.64876,"No","No","No","No","Yes","No","No","Yes","Planting date","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
21,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,7.1387451,27.9345,26.9821875,6.983625,3.174375,"Yes",635.64876,"No","No","Yes","No","Yes","No","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
22,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,4.6402722,-16.841,-16.266875,-4.21025,-1.91375,"Yes",635.64876,"No","No","No","No","No","Yes","No","Yes","Tillage","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
23,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,4.79001708,-14.1574,-13.6747613636364,-3.53935,-1.60879545454545,"Yes",635.64876,"No","No","No","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
24,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,7.03528074,26.0803,25.1911988636364,6.520075,2.96367045454545,"Yes",635.64876,"No","No","Yes","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
25,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,3.79013688,-32.0764,-30.6612647058824,-10.6921333333333,-4.71711764705882,"Yes",524.30217,"No","No","No","No","No","No","No","No","No","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
26,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,3.44559978,-38.2509,-36.5633602941177,-12.7503,-5.62513235294118,"Yes",524.30217,"No","No","No","No","Yes","No","No","Yes","Planting date","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
27,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,7.4942469,34.3055,32.7920220588235,11.4351666666667,5.04492647058824,"Yes",524.30217,"No","No","Yes","No","Yes","No","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
28,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,3.88340658,-30.4049,-29.0635073529412,-10.1349666666667,-4.47130882352941,"Yes",524.30217,"No","No","No","No","No","Yes","No","Yes","Tillage","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
29,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,4.03873146,-27.6213,-26.4027132352941,-9.2071,-4.06195588235294,"Yes",524.30217,"No","No","No","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
30,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,7.30074366,30.8377,29.4772132352941,10.2792333333333,4.53495588235294,"Yes",524.30217,"No","No","Yes","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
31,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,3.87637578,-30.5309,-29.4900738636364,-7.632725,-3.46942045454545,"Yes",635.64876,"No","No","No","No","No","No","No","No","No","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
32,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,3.87637578,-30.5309,-29.4900738636364,-7.632725,-3.46942045454545,"Yes",635.64876,"No","No","No","No","Yes","No","No","Yes","Planting date","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
33,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,7.4942469,34.3055,33.1359943181818,8.576375,3.89835227272727,"Yes",635.64876,"No","No","Yes","No","Yes","No","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
34,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,4.27171878,-23.4459,-22.6466079545455,-5.861475,-2.66430681818182,"Yes",635.64876,"No","No","No","No","No","Yes","No","Yes","Tillage","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
35,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,4.42704366,-20.6623,-19.9579034090909,-5.165575,-2.34798863636364,"Yes",635.64876,"No","No","No","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
36,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,7.45606854,33.6213,32.4751193181818,8.405325,3.82060227272727,"Yes",635.64876,"No","No","Yes","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
